run,class_index,class_name,precision,recall,f1,support
central_resnet18_e1,0,Apple___Apple_scab,0.8717948717948718,0.9066666666666666,0.8888888888888887,75
central_resnet18_e1,1,Apple___Black_rot,0.9012345679012346,0.9864864864864865,0.9419354838709678,74
central_resnet18_e1,2,Apple___Cedar_apple_rust,0.9655172413793104,0.8484848484848485,0.9032258064516129,33
central_resnet18_e1,3,Apple___healthy,0.9824561403508771,0.5685279187817259,0.7202572347266882,197
central_resnet18_e1,4,Blueberry___healthy,0.9408602150537635,0.9722222222222222,0.9562841530054644,180
central_resnet18_e1,5,Cherry_(including_sour)___Powdery_mildew,0.8064516129032258,0.9920634920634921,0.8896797153024911,126
central_resnet18_e1,6,Cherry_(including_sour)___healthy,0.9591836734693877,0.9215686274509803,0.9400000000000001,102
central_resnet18_e1,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.42028985507246375,0.9508196721311475,0.5829145728643216,61
central_resnet18_e1,8,Corn_(maize)___Common_rust_,0.986013986013986,0.9929577464788732,0.9894736842105264,142
central_resnet18_e1,9,Corn_(maize)___Northern_Leaf_Blight,1.0,0.2966101694915254,0.457516339869281,118
central_resnet18_e1,10,Corn_(maize)___healthy,0.9858156028368794,1.0,0.9928571428571429,139
central_resnet18_e1,11,Grape___Black_rot,0.5850622406639004,1.0,0.7382198952879581,141
central_resnet18_e1,12,Grape___Esca_(Black_Measles),1.0,0.463855421686747,0.6337448559670782,166
central_resnet18_e1,13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.9343065693430657,0.9922480620155039,0.9624060150375939,129
central_resnet18_e1,14,Grape___healthy,1.0,0.88,0.9361702127659575,50
central_resnet18_e1,15,Orange___Haunglongbing_(Citrus_greening),0.9937694704049844,0.9666666666666667,0.9800307219662059,660
central_resnet18_e1,16,Peach___Bacterial_spot,0.9390681003584229,0.9527272727272728,0.9458483754512635,275
central_resnet18_e1,17,Peach___healthy,0.9375,0.6976744186046512,0.8000000000000002,43
central_resnet18_e1,18,"Pepper,_bell___Bacterial_spot",0.9482758620689655,0.9243697478991597,0.9361702127659575,119
central_resnet18_e1,19,"Pepper,_bell___healthy",0.7927927927927928,0.9943502824858758,0.8822055137844611,177
central_resnet18_e1,20,Potato___Early_blight,0.8914728682170543,0.9583333333333334,0.9236947791164659,120
central_resnet18_e1,21,Potato___Late_blight,0.9560439560439561,0.725,0.8246445497630331,120
central_resnet18_e1,22,Potato___healthy,0.7391304347826086,0.9444444444444444,0.8292682926829269,18
central_resnet18_e1,23,Raspberry___healthy,1.0,0.8636363636363636,0.9268292682926829,44
central_resnet18_e1,24,Soybean___healthy,0.983249581239531,0.9622950819672131,0.9726594863297431,610
central_resnet18_e1,25,Squash___Powdery_mildew,0.8029197080291971,1.0,0.8906882591093117,220
central_resnet18_e1,26,Strawberry___Leaf_scorch,0.9761904761904762,0.924812030075188,0.9498069498069498,133
central_resnet18_e1,27,Strawberry___healthy,1.0,0.7222222222222222,0.8387096774193548,54
central_resnet18_e1,28,Tomato___Bacterial_spot,0.7329376854599406,0.9686274509803922,0.8344594594594595,255
central_resnet18_e1,29,Tomato___Early_blight,0.5153374233128835,0.7,0.5936395759717314,120
central_resnet18_e1,30,Tomato___Late_blight,0.9512195121951219,0.6812227074235808,0.7938931297709924,229
central_resnet18_e1,31,Tomato___Leaf_Mold,0.8823529411764706,0.7894736842105263,0.8333333333333333,114
central_resnet18_e1,32,Tomato___Septoria_leaf_spot,0.9495798319327731,0.5330188679245284,0.6827794561933536,212
central_resnet18_e1,33,Tomato___Spider_mites Two-spotted_spider_mite,0.9047619047619048,0.8507462686567164,0.8769230769230769,201
central_resnet18_e1,34,Tomato___Target_Spot,0.6666666666666666,0.9285714285714286,0.7761194029850746,168
central_resnet18_e1,35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9825949367088608,0.9672897196261683,0.9748822605965464,642
central_resnet18_e1,36,Tomato___Tomato_mosaic_virus,0.8431372549019608,0.9772727272727273,0.9052631578947369,44
central_resnet18_e1,37,Tomato___healthy,0.926829268292683,1.0,0.9620253164556963,190
